Date,State Name,DistrictName,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm)
2020/01/29,UTTAR PRADESH,VARANASI,0,127.38,0,16.13235713
2020/01/29,UTTAR PRADESH,AURAIYA,1.05,236.41,6.95,23.08096665
2020/01/28,UTTAR PRADESH,FARRUKHABAD,0.08,197.19,0.35,17.65569683
2020/01/28,UTTAR PRADESH,LUCKNOW,0.49,304.23,3.55,23.46787462
2020/01/28,UTTAR PRADESH,KHERI,0.06,885.93,0.63,22.44538696
2020/01/28,UTTAR PRADESH,CHANDAULI,0,225.55,0,17.48128905
2020/01/28,UTTAR PRADESH,AMBEDKAR NAGAR,0,241.86,0,20.47367774
2020/01/28,UTTAR PRADESH,BUDAUN,0.2,477.75,1.85,18.37762093
2020/01/28,UTTAR PRADESH,BALRAMPUR,0.47,453.36,3.28,26.68118305
2020/01/28,UTTAR PRADESH,BASTI,0.01,301.91,0.07,20.51133584
2020/01/28,UTTAR PRADESH,RAMPUR,0.05,338.78,0.45,25.67594103
2020/01/28,UTTAR PRADESH,MIRZAPUR,0.03,516.41,0.36,22.46369258
2020/01/28,UTTAR PRADESH,JYOTIBA PHULE NAGAR,0.55,272.79,5.06,23.40011503
2020/01/28,UTTAR PRADESH,LALITPUR,0.03,477.27,0.19,18.56176681
2020/01/28,UTTAR PRADESH,MAHAMAYA NAGAR,0,227.89,0,25.20095119
2020/01/28,UTTAR PRADESH,MATHURA,0,260.79,0,15.20579277
2020/01/28,UTTAR PRADESH,MAHOBA,0,302.64,0,20.68082219
2020/01/28,UTTAR PRADESH,CHITRAKOOT,0.01,250.12,0.06,15.92763825
2020/01/28,UTTAR PRADESH,SAHARANPUR,0.7,568.65,5.62,29.64847322
2020/01/28,UTTAR PRADESH,KANNAUJ,0.62,248.48,4.77,23.45044309
2020/01/28,UTTAR PRADESH,SANT KABIR NAGAR,0,179.47,0,21.9864538
2020/01/28,UTTAR PRADESH,SONBHADRA,0.38,913.79,2.24,26.45679248
2020/01/28,UTTAR PRADESH,FATEHPUR,0.02,299.51,0.21,14.07017775
2020/01/28,UTTAR PRADESH,BARA BANKI,0,471.6,0.02,24.34940969
2020/01/28,UTTAR PRADESH,AZAMGARH,0,299.36,0,13.74578733
2020/01/28,UTTAR PRADESH,BAGHPAT,0,151.53,0.04,22.21520054
2020/01/28,UTTAR PRADESH,ALIGARH,0.01,423.11,0.09,22.08617199
2020/01/28,UTTAR PRADESH,HARDOI,0.07,664.56,0.64,21.63622325
2020/01/28,UTTAR PRADESH,RAE BARELI,0.04,427.94,0.43,18.16631093
2020/01/28,UTTAR PRADESH,GHAZIPUR,0,205.57,0,11.9250233
2020/01/28,UTTAR PRADESH,KAUSHAMBI,0,160.36,0,15.50747337
2020/01/28,UTTAR PRADESH,BULANDSHAHR,0.06,406.23,0.4,22.2731105
2020/01/28,UTTAR PRADESH,DEORIA,0,286.01,0,21.94726862
2020/01/28,UTTAR PRADESH,BAHRAICH,0.13,464.58,1.22,20.99648893
2020/01/28,UTTAR PRADESH,GORAKHPUR,0.07,374.63,0.48,21.83145993
2020/01/28,UTTAR PRADESH,BIJNOR,0.94,624.17,7.1,28.12702526
2020/01/28,UTTAR PRADESH,BANDA,0,389.42,0,16.85894878
2020/01/28,UTTAR PRADESH,MUZAFFARNAGAR,0.48,575.99,4.2,27.64627901
2020/01/28,UTTAR PRADESH,SANT RAVI DAS NAGAR(BHADOHI),0,73.7,0.01,14.34625882
2020/01/28,UTTAR PRADESH,HAMIRPUR,0,552.22,0,25.41981926
2020/01/28,UTTAR PRADESH,PRATAPGARH,0,372.76,0,19.69070112
2020/01/28,UTTAR PRADESH,ETAWAH,0.25,272.84,2.19,22.98499218
2020/01/28,UTTAR PRADESH,MORADABAD,0.65,450.41,5.05,24.22292095
2020/01/28,UTTAR PRADESH,AGRA,0.05,457.28,0.47,22.2385608
2020/01/28,UTTAR PRADESH,JAUNPUR,0,283.79,0,13.8065653
2020/01/28,UTTAR PRADESH,KANPUR NAGAR,0.02,314.22,0.18,21.39431007
2020/01/28,UTTAR PRADESH,JHANSI,0.05,646.66,0.28,25.04285186
2020/01/28,UTTAR PRADESH,SIDDHARTH NAGAR,0,333.71,0.04,23.06129767
2020/01/28,UTTAR PRADESH,MEERUT,0.12,342.06,0.91,25.50371592
2020/01/28,UTTAR PRADESH,PILIBHIT,0.15,443.38,1.27,24.07838077
2020/01/28,UTTAR PRADESH,SHAHJAHANPUR,0.01,417.81,0.09,17.54501416
2020/01/28,UTTAR PRADESH,KANPUR DEHAT,0.34,382.17,2.11,23.31500638
2020/01/28,UTTAR PRADESH,FIROZABAD,0.02,263.06,0.19,21.42859016
2020/01/28,UTTAR PRADESH,AYODHYA,0,329.41,0.01,23.58957036
2020/01/28,UTTAR PRADESH,KUSHINAGAR,0.01,382.95,0.05,25.99350951
2020/01/28,UTTAR PRADESH,JALAUN,0.01,705.53,0.08,30.26144813
2020/01/28,UTTAR PRADESH,GHAZIABAD,0.41,231.91,2.75,22.86705242
2020/01/28,UTTAR PRADESH,ETAH,0.01,288.88,0.08,22.48630379
2020/01/28,UTTAR PRADESH,BALLIA,0,194.84,0,12.72038066
2020/01/28,UTTAR PRADESH,UNNAO,0.28,527.59,2.71,22.48469761
2020/01/28,UTTAR PRADESH,MAU,0,113.91,0,13.18540611
2020/01/28,UTTAR PRADESH,SITAPUR,0,657.65,0.02,22.25691783
2020/01/28,UTTAR PRADESH,PRAYAGRAJ,0,465.64,0,17.51738865
2020/01/28,UTTAR PRADESH,BAREILLY,0.15,518.88,0.93,26.75311963
2020/01/28,UTTAR PRADESH,SHRAWASTI,0.19,341.93,1.69,26.6941776
2020/01/28,UTTAR PRADESH,SULTANPUR,0,550.46,0,24.43491287
2020/01/28,UTTAR PRADESH,GONDA,0,491.16,0,23.82458569
2020/01/28,UTTAR PRADESH,GAUTAM BUDDHA NAGAR,0,134.32,0,18.60422209
2020/01/28,UTTAR PRADESH,KANSIRAM NAGAR,0.12,221.05,1.12,21.97914177
2020/01/28,UTTAR PRADESH,MAHARAJGANJ,0,386.49,0,26.0978329
2020/01/28,UTTAR PRADESH,MAINPURI,0.03,310.52,0.3,22.51328406
2020/01/28,UTTAR PRADESH,VARANASI,0,130.06,0,16.47165059
2020/01/28,UTTAR PRADESH,AURAIYA,1.1,242.23,7.26,23.64940355
2020/01/27,UTTAR PRADESH,FARRUKHABAD,0.08,197.47,0.4,17.68082098
2020/01/27,UTTAR PRADESH,LUCKNOW,0.51,309.49,3.74,23.87410099
2020/01/27,UTTAR PRADESH,KHERI,0.07,891.41,0.69,22.58415067
2020/01/27,UTTAR PRADESH,CHANDAULI,0,221.1,0,17.13609865
2020/01/27,UTTAR PRADESH,AMBEDKAR NAGAR,0,245.56,0,20.78693106
2020/01/27,UTTAR PRADESH,BUDAUN,0.04,369.23,0.39,14.20327982
2020/01/27,UTTAR PRADESH,BALRAMPUR,0.09,405.66,0.95,23.87409302
2020/01/27,UTTAR PRADESH,BASTI,0.01,306.67,0.07,20.83490321
2020/01/27,UTTAR PRADESH,RAMPUR,0.03,306.72,0.29,23.24649177
2020/01/27,UTTAR PRADESH,MIRZAPUR,0.03,518.63,0.35,22.56018985
2020/01/27,UTTAR PRADESH,JYOTIBA PHULE NAGAR,0.36,222.75,3.69,19.10798479
